cluster,run_index,msg_size,lost,total_msg_packets,loss_rate
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
nantes,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
rennes,2,10000000,30,8222,0.0036487472634395522
lyon,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
nancy,2,10000000,30,8222,0.0036487472634395522
