time,run_index,msg_size,cwnd
4126.3516,7,1000000,41445
4161.556,7,1000000,42795
4196.3037,7,1000000,44145
4229.727,7,1000000,45495
4262.833,7,1000000,46845
4294.335,7,1000000,48195
4327.508,7,1000000,49545
4360.968,7,1000000,50895
4393.0356,7,1000000,52245
3338.9307,8,1000000,14850
3364.5923,8,1000000,10395
3424.644,8,1000000,11745
3483.8433,8,1000000,13095
3544.6785,8,1000000,14445
3605.4558,8,1000000,15795
3635.6328,8,1000000,17145
3665.8196,8,1000000,18495
3698.8975,8,1000000,19845
3728.2363,8,1000000,21195
3763.85,8,1000000,22545
3794.457,8,1000000,23895
3823.9763,8,1000000,25245
3853.4277,8,1000000,26595
3883.2998,8,1000000,27945
3913.9463,8,1000000,29295
3944.2305,8,1000000,30645
3974.6274,8,1000000,31995
4005.267,8,1000000,33345
4036.4556,8,1000000,34695
4067.3657,8,1000000,36045
4098.8516,8,1000000,37395
4129.239,8,1000000,38745
4162.6284,8,1000000,40095
4195.4385,8,1000000,41445
4226.8,8,1000000,42795
4258.848,8,1000000,44145
4292.5605,8,1000000,45495
4325.4478,8,1000000,46845
4359.0996,8,1000000,48195
4391.6724,8,1000000,49545
4424.968,8,1000000,50895
3349.4053,9,1000000,14850
3373.45,9,1000000,10395
3432.1445,9,1000000,11745
3493.088,9,1000000,13095
3555.2183,9,1000000,14445
3619.7468,9,1000000,15795
3651.053,9,1000000,17145
3683.2852,9,1000000,18495
3716.2202,9,1000000,19845
3749.0483,9,1000000,21195
3780.9949,9,1000000,22545
3813.7227,9,1000000,23895
3845.522,9,1000000,25245
3881.2244,9,1000000,26595
3915.3457,9,1000000,27945
3948.882,9,1000000,29295
3979.236,9,1000000,30645
4009.1519,9,1000000,31995
4039.8079,9,1000000,33345
4070.357,9,1000000,34695
4101.614,9,1000000,36045
4140.551,9,1000000,37395
4172.9136,9,1000000,38745
4205.5684,9,1000000,40095
4241.125,9,1000000,41445
4273.6904,9,1000000,42795
4309.8574,9,1000000,44145
4345.1064,9,1000000,45495
4381.6104,9,1000000,46845
4415.923,9,1000000,48195
4448.477,9,1000000,49545
4481.3267,9,1000000,50895
4516.3384,9,1000000,52245
3264.4177,0,10000000,14850
3291.1062,0,10000000,10395
3383.6694,0,10000000,11745
3493.1663,0,10000000,13095
3597.2925,0,10000000,14445
3720.5886,0,10000000,15795
3785.5103,0,10000000,17145
3820.4092,0,10000000,18495
3859.5132,0,10000000,19845
3900.269,0,10000000,21195
3942.915,0,10000000,22545
3988.3286,0,10000000,23895
4076.8142,0,10000000,25245
4123.0874,0,10000000,26595
4173.5947,0,10000000,27945
4285.725,0,10000000,29295
4336.567,0,10000000,30645
4391.032,0,10000000,31995
4495.738,0,10000000,33345
4546.842,0,10000000,34695
4605.8403,0,10000000,36045
4720.779,0,10000000,37395
4775.599,0,10000000,38745
4838.624,0,10000000,40095
4959.539,0,10000000,41445
5018.56,0,10000000,42795
5084.219,0,10000000,44145
5211.6494,0,10000000,45495
5274.1084,0,10000000,46845
5344.4995,0,10000000,48195
5480.543,0,10000000,49545
5546.4106,0,10000000,50895
5620.7334,0,10000000,52245
5765.308,0,10000000,53595
5834.629,0,10000000,54945
5913.486,0,10000000,56295
6066.4307,0,10000000,57645
6138.9766,0,10000000,58995
6222.7954,0,10000000,60345
6381.5815,0,10000000,61695
6457.4434,0,10000000,63045
6588.0117,0,10000000,64395
6676.786,0,10000000,65745
6845.3076,0,10000000,67095
6926.162,0,10000000,68445
7019.374,0,10000000,69795
7208.6475,0,10000000,71145
7300.6235,0,10000000,72495
7405.096,0,10000000,73845
7605.647,0,10000000,75195
7700.747,0,10000000,76545
7809.635,0,10000000,77895
8016.7505,0,10000000,79245
8115.4507,0,10000000,80595
8226.095,0,10000000,81945
8435.742,0,10000000,83295
8537.554,0,10000000,84645
8652.453,0,10000000,85995
8871.043,0,10000000,87345
8975.004,0,10000000,88695
9092.733,0,10000000,90045
9414.815,0,10000000,91395
9616.443,0,10000000,92745
9937.638,0,10000000,94095
10048.516,0,10000000,95445
10285.336,0,10000000,96795
10397.796,0,10000000,98145
10638.26,0,10000000,99495
10751.725,0,10000000,100845
10994.599,0,10000000,102195
11109.993,0,10000000,103545
11357.306,0,10000000,104895
11473.313,0,10000000,106245
11721.719,0,10000000,107595
11840.495,0,10000000,108945
12092.161,0,10000000,110295
12211.941,0,10000000,111645
12468.858,0,10000000,112995
12588.131,0,10000000,114345
12843.548,0,10000000,115695
12965.68,0,10000000,117045
13225.724,0,10000000,118395
13347.241,0,10000000,82876
20953.836,0,10000000,84226
21032.29,0,10000000,85576
21110.523,0,10000000,86926
21189.898,0,10000000,88276
21231.871,0,10000000,89626
21309.238,0,10000000,90976
21392.885,0,10000000,92326
21475.545,0,10000000,93676
3310.7566,1,10000000,14850
3332.3916,1,10000000,10395
3421.5955,1,10000000,11745
3509.1665,1,10000000,13095
3602.142,1,10000000,14445
