cluster,run_index,msg_size,client_ip,fc_bytes,fc_pkts,uc_bytes,uc_pkts,data_bytes,data_pkts,first_data,last_data,rate_mbps,fc_data_span_ms,aligned,uc_aligned
rennes,0,10000,10.158.4.30,10485,9,3718,7,10485,9,749.7473,749.9678,380.4081632652794,0.22050000000001546,False,False
rennes,0,10000,10.158.4.31,10485,9,3718,7,10485,9,754.8343,755.0775,344.90131578947137,0.24320000000000164,False,False
rennes,0,10000,10.158.4.32,10485,9,3718,7,10485,9,643.1849,643.2588,1135.0473612993517,0.07389999999998054,False,False
rennes,0,10000,10.158.4.33,10485,9,3718,7,10485,9,647.4356,647.72864,286.24078624076765,0.29304000000001906,False,False
rennes,0,10000,10.158.4.34,10485,9,3718,7,10485,9,653.3104,653.3813,1183.0747531726247,0.07090000000005148,False,False
rennes,0,10000,10.158.4.35,10485,9,3718,7,10485,9,657.946,658.21234,314.9357963505131,0.2663400000000138,False,False
rennes,0,10000,10.158.4.36,10485,9,3718,7,10485,9,662.9805,663.246,315.93220338986083,0.26549999999997453,False,False
rennes,0,10000,10.158.4.37,10485,9,3718,7,10485,9,667.932,668.2416,270.9302325581989,0.30959999999993215,False,False
rennes,0,10000,10.158.4.38,10485,9,3718,7,10485,9,672.86414,673.1435,300.25773195876616,0.27935999999999694,False,False
rennes,0,10000,10.158.4.39,10485,9,3718,7,10485,9,677.9595,678.23035,309.69171127931065,0.2708499999999958,False,False
rennes,0,10000,10.158.4.4,10485,9,3718,7,10485,9,756.9811,757.04767,1260.02703920553,0.06657000000006974,False,False
rennes,0,10000,10.158.4.40,10485,9,3718,7,10485,9,682.9422,683.0132,1181.4084507037865,0.07100000000002638,False,False
rennes,0,10000,10.158.4.41,10485,9,3718,7,10485,9,687.9368,688.28345,241.9731717870578,0.34665000000006785,False,False
rennes,0,10000,10.158.4.42,10485,9,3718,7,10485,9,693.0585,693.337,301.184919210045,0.2785000000000082,False,False
rennes,0,10000,10.158.4.43,10485,9,3718,7,10485,9,698.28345,698.5647,298.24,0.28125,False,False
rennes,0,10000,10.158.4.44,10485,9,3718,7,10485,9,703.19904,703.4765,302.31384704099406,0.27746000000001914,False,False
rennes,0,10000,10.158.4.45,10485,9,3718,7,10485,9,707.62006,707.8909,309.70314576869544,0.27084000000002106,False,False
rennes,0,10000,10.158.4.46,10485,9,3718,7,10485,9,713.15967,713.42664,314.1926059107591,0.2669700000000148,False,False
rennes,0,10000,10.158.4.47,10485,9,3718,7,10485,9,1037.5265,1037.6932,503.17936412719985,0.16669999999999163,False,False
rennes,0,10000,10.158.4.48,10485,9,3718,7,10485,9,1042.4618,1042.6473,452.1832884095882,0.1855000000000473,False,False
rennes,0,10000,10.158.4.49,10485,9,3718,7,10485,9,1047.1833,1047.3259,588.2187938283578,0.1426000000001295,False,False
rennes,0,10000,10.158.4.5,10485,9,3718,7,10485,9,762.3361,762.4198,1002.1505376341495,0.08370000000002165,False,False
rennes,0,10000,10.158.4.50,10485,9,3718,7,10485,9,1052.3667,1052.4827,723.1034482759528,0.11599999999998545,False,False
rennes,0,10000,10.158.4.51,10485,9,3718,7,10485,9,1057.5189,1057.5911,1161.77285318453,0.07220000000006621,False,False
rennes,0,10000,10.158.4.52,10485,9,3718,7,10485,9,1063.1351,1063.2218,967.4740484421881,0.08670000000006439,False,False
rennes,0,10000,10.158.4.53,10485,9,3718,7,10485,9,1068.1062,1068.2728,503.48139255697225,0.16660000000001673,False,False
rennes,0,10000,10.158.4.54,10485,9,3718,7,10485,9,1073.2389,1073.3594,696.0995850622827,0.12049999999999272,False,False
rennes,0,10000,10.158.4.55,10485,9,3718,7,10485,9,1078.3385,1078.5039,507.1342200729708,0.1653999999998632,False,False
rennes,0,10000,10.158.4.56,10485,9,3718,7,10485,9,1083.2437,1083.3888,578.0840799450381,0.1450999999999567,False,False
rennes,0,10000,10.158.4.57,10485,9,3718,7,10485,9,1088.1272,1088.3102,458.36065573772316,0.18299999999999272,False,False
rennes,0,10000,10.158.4.58,10485,9,3718,7,10485,9,1093.6189,1093.7351,721.8588640265285,0.11620000000016262,False,False
rennes,0,10000,10.158.4.59,10485,9,3718,7,10485,9,1098.4994,1098.6134,735.7894736839992,0.11400000000003274,False,False
