cluster,msg_size,time
lyon,1000,5131.9194
nancy,1000,5178.73
lyon,1000,5050.095
lyon,1000,5056.1626
lyon,1000,5062.198
lyon,1000,5067.9194
lyon,1000,5074.0825
lyon,1000,5041.3315
lyon,1000,5047.086
lyon,1000,5052.6426
lyon,1000,5059.1245
lyon,1000,5138.23
lyon,1000,5064.669
rennes,1000,5059.8286
rennes,1000,5064.051
rennes,1000,5069.3486
rennes,1000,5074.9565
rennes,1000,5078.569
nantes,1000,4994.477
nantes,1000,5000.1455
nantes,1000,5006.325
nantes,1000,5011.973
lyon,1000,5143.742
nantes,1000,5018.6455
nantes,1000,4994.246
nantes,1000,4999.7793
nantes,1000,5005.9487
nantes,1000,5011.7275
nantes,1000,5018.3013
lyon,1000,4996.0625
lyon,1000,5003.899
lyon,1000,5007.924
lyon,1000,5014.4756
nancy,1000,5194.034
lyon,1000,5020.8154
nancy,1000,5060.964
nancy,1000,5064.032
nancy,1000,5068.7666
nancy,1000,5073.485
nancy,1000,5076.814
nancy,1000,5052.978
nancy,1000,5056.8047
nancy,1000,5061.773
nancy,1000,5064.9194
nancy,1000,5197.66
nancy,1000,5068.8984
rennes,1000,4971.532
rennes,1000,4976.426
rennes,1000,4981.0596
rennes,1000,4985.3086
rennes,1000,4990.7217
lyon,1000,4944.146
lyon,1000,4950.709
lyon,1000,4956.432
lyon,1000,4962.6274
nancy,1000,5202.6177
lyon,1000,4967.684
rennes,1000,4965.8413
rennes,1000,4970.541
rennes,1000,4975.174
rennes,1000,4980.1846
rennes,1000,4984.2866
nantes,1000,4915.337
nantes,1000,4919.0913
nantes,1000,4925.8496
nantes,1000,4932.973
nancy,1000,5206.3853
nantes,1000,4938.437
nancy,1000,5010.8184
nancy,1000,5014.8706
nancy,1000,5019.523
nancy,1000,5023.4297
nancy,1000,5026.916
rennes,1000,4929.2095
rennes,1000,4934.347
rennes,1000,4940.005
rennes,1000,4943.994
lyon,1000,5151.7295
nancy,1000,5256.5034
rennes,1000,4979.066
rennes,1000,5124.595
rennes,1000,5128.4507
rennes,1000,5133.4053
rennes,1000,5138.304
rennes,1000,5142.2666
nantes,1000,5100.987
nantes,1000,5107.5347
nantes,1000,5113.9087
nantes,1000,5119.108
lyon,1000,5157.773
nantes,1000,5125.7437
nantes,1000,5092.645
nantes,1000,5099.125
nantes,1000,5103.1816
nantes,1000,5110.111
nantes,1000,5114.9463
nancy,1000,5195.3945
nancy,1000,5199.593
nancy,1000,5202.991
nancy,1000,5208.0396
lyon,1000,5162.268
nancy,1000,5210.5205
lyon,1000,5085.258
lyon,1000,5090.5566
lyon,1000,5095.959
lyon,1000,5102.7554
lyon,1000,5108.63
lyon,1000,5060.3374
lyon,1000,5066.9023
lyon,1000,5071.883
lyon,1000,5077.7153
lyon,1000,5169.0693
lyon,1000,5083.252
rennes,1000,5075.759
rennes,1000,5081.4688
rennes,1000,5086.1113
rennes,1000,5091.026
rennes,1000,5095.7847
nantes,1000,5023.3486
nantes,1000,5028.893
nantes,1000,5034.5376
nantes,1000,5041.049
lyon,1000,5173.851
nantes,1000,5046.5835
nantes,1000,5018.8994
nantes,1000,5025.3804
nantes,1000,5031.0503
nantes,1000,5038.198
nantes,1000,5044.7334
lyon,1000,4997.878
lyon,1000,5004.1514
lyon,1000,5008.5957
lyon,1000,5015.2856
nancy,1000,5240.095
lyon,1000,5020.627
nancy,1000,5117.776
nancy,1000,5121.696
nancy,1000,5125.3286
nancy,1000,5129.3745
nancy,1000,5133.627
nancy,1000,5092.5874
nancy,1000,5095.8647
nancy,1000,5100.2085
nancy,1000,5104.415
nancy,1000,5245.6406
nancy,1000,5108.209
rennes,1000,5002.5913
rennes,1000,5007.316
rennes,1000,5011.9272
rennes,1000,5017.0513
rennes,1000,5021.6685
lyon,1000,4964.186
lyon,1000,4971.0903
lyon,1000,4977.338
lyon,1000,4982.5615
nancy,1000,5248.764
lyon,1000,4987.579
rennes,1000,4991.9155
rennes,1000,4996.689
rennes,1000,5001.22
rennes,1000,5006.731
rennes,1000,5011.028
nantes,1000,4908.427
nantes,1000,4914.876
nantes,1000,4920.031
nantes,1000,4927.5806
nancy,1000,5252.2646
nantes,1000,4932.743
nancy,1000,5018.637
nancy,1000,5022.8975
nancy,1000,5026.462
nancy,1000,5030.8164
nancy,1000,5033.86
rennes,1000,4957.811
rennes,1000,4963.1606
rennes,1000,4967.2085
rennes,1000,4973.0527
lyon,1000,5128.9746
nancy,1000,5238.108
rennes,1000,4823.538
rennes,1000,5094.076
rennes,1000,5099.075
rennes,1000,5104.4736
rennes,1000,5108.7524
rennes,1000,5113.887
nantes,1000,5095.7847
nantes,1000,5101.579
nantes,1000,5106.9536
nantes,1000,5113.878
lyon,1000,5135.0884
nantes,1000,5119.798
nantes,1000,5062.763
nantes,1000,5068.831
nantes,1000,5074.537
nantes,1000,5081.1475
nantes,1000,5087.487
nancy,1000,5166.7847
nancy,1000,5170.434
nancy,1000,5174.1904
nancy,1000,5177.92
lyon,1000,5140.0786
nancy,1000,5182.0576
lyon,1000,5050.913
lyon,1000,5057.613
lyon,1000,5062.3354
lyon,1000,5068.812
