"index","ADDITIONAL_DATA_SIZE","run_index","time_rel","cpu_id","utilization_percentage"
168213,10000000,6,70.089,126,0.0
168214,10000000,6,70.089,127,0.0
168215,10000000,6,70.089,-1,2.421
168216,10000000,6,71.091,0,26.119
168217,10000000,6,71.091,1,84.906
168218,10000000,6,71.091,2,0.0
168219,10000000,6,71.091,3,0.0
168220,10000000,6,71.091,4,100.0
168221,10000000,6,71.091,5,100.0
168222,10000000,6,71.091,6,0.0
168223,10000000,6,71.091,7,0.0
168224,10000000,6,71.091,8,0.0
168225,10000000,6,71.091,9,0.0
168226,10000000,6,71.091,10,0.0
168227,10000000,6,71.091,11,0.0
168228,10000000,6,71.091,12,0.0
168229,10000000,6,71.091,13,0.0
168230,10000000,6,71.091,14,0.0
168231,10000000,6,71.091,15,0.0
168232,10000000,6,71.091,16,0.0
168233,10000000,6,71.091,17,0.0
168234,10000000,6,71.091,18,0.0
168235,10000000,6,71.091,19,0.0
168236,10000000,6,71.091,20,0.0
168237,10000000,6,71.091,21,0.0
168238,10000000,6,71.091,22,0.0
168239,10000000,6,71.091,23,0.0
168240,10000000,6,71.091,24,0.0
168241,10000000,6,71.091,25,0.0
168242,10000000,6,71.091,26,0.0
168243,10000000,6,71.091,27,0.0
168244,10000000,6,71.091,28,0.0
168245,10000000,6,71.091,29,0.0
168246,10000000,6,71.091,30,0.0
168247,10000000,6,71.091,31,0.0
168248,10000000,6,71.091,32,0.0
168249,10000000,6,71.091,33,0.0
168250,10000000,6,71.091,34,0.0
168251,10000000,6,71.091,35,0.0
168252,10000000,6,71.091,36,0.0
168253,10000000,6,71.091,37,0.0
168254,10000000,6,71.091,38,0.0
168255,10000000,6,71.091,39,0.0
168256,10000000,6,71.091,40,0.0
168257,10000000,6,71.091,41,0.0
168258,10000000,6,71.091,42,0.0
168259,10000000,6,71.091,43,0.0
168260,10000000,6,71.091,44,0.0
168261,10000000,6,71.091,45,0.0
168262,10000000,6,71.091,46,0.0
168263,10000000,6,71.091,47,0.0
168264,10000000,6,71.091,48,0.0
168265,10000000,6,71.091,49,0.0
168266,10000000,6,71.091,50,0.0
168267,10000000,6,71.091,51,0.0
168268,10000000,6,71.091,52,0.0
168269,10000000,6,71.091,53,0.0
168270,10000000,6,71.091,54,0.0
168271,10000000,6,71.091,55,0.0
168272,10000000,6,71.091,56,0.0
168273,10000000,6,71.091,57,0.0
168274,10000000,6,71.091,58,0.0
168275,10000000,6,71.091,59,0.0
168276,10000000,6,71.091,60,0.0
168277,10000000,6,71.091,61,0.0
168278,10000000,6,71.091,62,0.0
168279,10000000,6,71.091,63,0.0
168280,10000000,6,71.091,64,0.0
168281,10000000,6,71.091,65,0.0
168282,10000000,6,71.091,66,0.0
168283,10000000,6,71.091,67,0.0
168284,10000000,6,71.091,68,0.0
168285,10000000,6,71.091,69,0.0
168286,10000000,6,71.091,70,0.0
168287,10000000,6,71.091,71,0.0
168288,10000000,6,71.091,72,0.0
168289,10000000,6,71.091,73,0.0
168290,10000000,6,71.091,74,0.0
168291,10000000,6,71.091,75,0.0
168292,10000000,6,71.091,76,0.0
168293,10000000,6,71.091,77,0.0
168294,10000000,6,71.091,78,0.0
168295,10000000,6,71.091,79,0.0
168296,10000000,6,71.091,80,0.0
168297,10000000,6,71.091,81,0.0
168298,10000000,6,71.091,82,0.0
168299,10000000,6,71.091,83,0.0
168300,10000000,6,71.091,84,0.0
168301,10000000,6,71.091,85,0.0
168302,10000000,6,71.091,86,0.0
168303,10000000,6,71.091,87,0.0
168304,10000000,6,71.091,88,0.0
